Call_ID,new_id,Customer_Id,Agent,Date_Of_Call,Time_Of_Call,Resolved,Answered,Topic,Speed_of_answer_in_seconds,Duration,Satisfaction_rating,end_call
26,4868,0486-HECZI,Dan,1/1/2021,12:30:14 PM,0,0,Payment related,,,,12:30:14 PM
27,484623,4846-WHAFZ,Joe,1/1/2021,12:40:19 PM,1,1,Streaming,39,4:00,3,12:44:19 PM
28,529918,5299-RULOA,Martha,1/1/2021,12:40:19 PM,1,1,Contract related,51,2:34,4,12:42:53 PM
29,40419,0404-SWRVG,Joe,1/1/2021,12:40:19 PM,1,1,Technical Support,106,2:09,4,12:42:28 PM
30,441225,4412-YLTKF,Stewart,1/1/2021,12:40:19 PM,1,1,Streaming,107,5:55,3,12:46:14 PM
31,620723,6207-WIOLX,Joe,1/1/2021,1:24:58 PM,1,1,Admin Support,22,5:08,3,1:30:06 PM
32,30916,3091-FYHKI,Joe,1/1/2021,1:24:58 PM,1,1,Streaming,122,2:08,4,1:27:06 PM
33,23728,2372-HWUHI,Diane,1/1/2021,1:33:36 PM,1,1,Technical Support,57,6:49,3,1:40:25 PM
34,3904,0390-DCFDQ,Jim,1/1/2021,1:33:36 PM,0,1,Payment related,53,1:44,2,1:35:20 PM
35,408015,4080-OGPJL,Becky,1/1/2021,1:42:14 PM,1,1,Streaming,119,1:31,5,1:43:45 PM
36,213518,2135-RXIHG,Diane,1/1/2021,1:42:14 PM,0,0,Streaming,,,,1:42:14 PM
37,38745,3874-EQOEP,Martha,1/1/2021,1:42:14 PM,0,1,Technical Support,20,1:12,2,1:43:26 PM
38,86713,0867-MKZVY,Joe,1/1/2021,1:42:14 PM,1,1,Technical Support,52,0:36,3,1:42:50 PM
39,33762,3376-BMGFE,Stewart,1/1/2021,2:38:24 PM,1,1,Contract related,74,6:41,1,2:45:05 PM
40,34458,3445-HXXGF,Greg,1/1/2021,2:38:24 PM,1,1,Technical Support,49,2:29,3,2:40:53 PM
41,187517,1875-QIVME,Jim,1/1/2021,2:47:02 PM,1,1,Technical Support,27,2:09,5,2:49:11 PM
42,69110,0691-JVSYA,Greg,1/1/2021,2:47:02 PM,1,1,Contract related,100,4:54,5,2:51:56 PM
43,26566,2656-FMOKZ,Diane,1/1/2021,2:47:02 PM,1,1,Technical Support,45,6:21,3,2:53:23 PM
44,20706,2070-FNEXE,Becky,1/1/2021,2:47:02 PM,1,1,Payment related,98,3:14,5,2:50:16 PM
45,631725,6317-YPKDH,Diane,1/1/2021,3:44:38 PM,1,1,Admin Support,25,5:13,5,3:49:51 PM
46,936723,9367-WXLCH,Jim,1/1/2021,3:44:38 PM,0,0,Contract related,,,,3:44:38 PM
47,191826,1918-ZBFQJ,Dan,1/1/2021,5:13:55 PM,1,1,Admin Support,107,2:22,3,5:16:17 PM
48,10247,1024-GUALD,Martha,1/1/2021,5:13:55 PM,0,0,Contract related,,,,5:13:55 PM
49,247215,2472-OVKUP,Joe,1/1/2021,5:25:26 PM,1,1,Technical Support,104,3:35,5,5:29:01 PM
50,128515,1285-OKIPP,Dan,1/1/2021,5:25:26 PM,0,0,Technical Support,,,,5:25:26 PM
51,78255,7825-ECJRF,Martha,1/1/2021,5:35:31 PM,0,0,Contract related,,,,5:35:31 PM
52,784120,7841-TZDMQ,Jim,1/1/2021,5:35:31 PM,0,0,Admin Support,,,,5:35:31 PM
53,940819,9408-SSNVZ,Stewart,1/1/2021,5:36:58 PM,1,1,Payment related,13,1:15,5,5:38:13 PM
54,74213,0742-MOABM,Dan,1/1/2021,5:36:58 PM,1,1,Payment related,119,2:32,5,5:39:30 PM
55,22324,2232-DMLXU,Becky,1/1/2021,5:44:10 PM,1,1,Streaming,35,1:19,3,5:45:29 PM
56,893718,8937-RDTHP,Dan,1/1/2021,5:44:10 PM,1,1,Streaming,83,6:45,4,5:50:55 PM
57,125111,1251-KRREG,Jim,1/1/2021,5:57:07 PM,1,1,Technical Support,48,2:52,2,5:59:59 PM
58,9415,0094-OIFMO,Stewart,1/1/2021,5:57:07 PM,1,1,Admin Support,45,3:23,5,6:00:30 PM
59,994715,9947-OTFQU,Dan,1/2/2021,9:05:46 AM,1,1,Technical Support,65,6:00,5,9:11:46 AM
60,32225,0322-YINQP,Dan,1/2/2021,9:05:46 AM,1,1,Contract related,50,4:26,3,9:10:12 AM
61,462914,4629-NRXKX,Diane,1/2/2021,9:18:43 AM,1,1,Streaming,17,6:15,3,9:24:58 AM
62,951410,9514-JDSKI,Joe,1/2/2021,9:18:43 AM,0,0,Technical Support,,,,9:18:43 AM
63,495910,4959-JOSRX,Dan,1/2/2021,9:20:10 AM,1,1,Streaming,96,6:46,1,9:26:56 AM
64,727320,7273-TEFQD,Stewart,1/2/2021,9:20:10 AM,1,1,Streaming,90,6:23,3,9:26:33 AM
65,360620,3606-TWKGI,Jim,1/2/2021,9:38:53 AM,1,1,Contract related,98,6:25,2,9:45:18 AM
66,63231,6323-AYBRX,Diane,1/2/2021,9:38:53 AM,0,1,Technical Support,90,1:23,4,9:40:16 AM
67,43857,4385-GZQXV,Jim,1/2/2021,10:04:48 AM,1,1,Contract related,98,5:49,5,10:10:37 AM
68,636626,6366-ZGQGL,Jim,1/2/2021,10:04:48 AM,1,1,Contract related,70,3:12,5,10:08:00 AM
69,59401,5940-AHUHD,Diane,1/2/2021,10:33:36 AM,1,1,Contract related,69,4:45,4,10:38:21 AM
70,643220,6432-TWQLB,Diane,1/2/2021,10:33:36 AM,0,0,Admin Support,,,,10:33:36 AM
71,44847,4484-GLZOU,Joe,1/2/2021,11:08:10 AM,1,1,Technical Support,120,2:11,4,11:10:21 AM
72,951221,9512-UIBFX,Stewart,1/2/2021,11:08:10 AM,1,1,Admin Support,113,5:51,5,11:14:01 AM
73,558319,5583-SXDAG,Greg,1/2/2021,11:26:53 AM,0,1,Payment related,10,2:19,5,11:29:12 AM
74,348816,3488-PGMQJ,Becky,1/2/2021,11:26:53 AM,1,1,Contract related,122,4:53,1,11:31:46 AM
75,358018,3580-REOAC,Stewart,1/2/2021,11:42:43 AM,0,1,Technical Support,125,1:38,3,11:44:21 AM
76,75342,7534-BFESC,Diane,1/2/2021,11:42:43 AM,0,0,Admin Support,,,,11:42:43 AM
77,63904,6390-DSAZX,Martha,1/2/2021,11:47:02 AM,1,1,Technical Support,33,6:38,2,11:53:40 AM
78,809812,8098-LLAZX,Dan,1/2/2021,11:47:02 AM,1,1,Contract related,51,6:22,2,11:53:24 AM
79,2655,0265-EDXBD,Becky,1/2/2021,11:54:14 AM,1,1,Contract related,58,3:28,3,11:57:42 AM
80,75632,7563-BIUPC,Dan,1/2/2021,11:54:14 AM,1,1,Admin Support,121,4:47,5,11:59:01 AM
81,232115,2321-OMBXY,Diane,1/2/2021,12:00:00 PM,1,1,Admin Support,118,2:06,4,12:02:06 PM
82,284024,2840-XANRC,Greg,1/2/2021,12:00:00 PM,1,1,Payment related,52,6:56,4,12:06:56 PM
83,502026,5020-ZSTTY,Stewart,1/2/2021,12:20:10 PM,1,1,Admin Support,55,4:44,3,12:24:54 PM
84,580412,5804-LEPIM,Dan,1/2/2021,12:20:10 PM,1,1,Contract related,68,5:59,4,12:26:09 PM
85,12215,0122-OAHPZ,Becky,1/2/2021,12:41:46 PM,1,1,Technical Support,106,4:22,5,12:46:08 PM
86,286819,2868-SNELZ,Martha,1/2/2021,12:41:46 PM,1,1,Technical Support,32,4:36,3,12:46:22 PM
87,432218,4322-RCYMT,Jim,1/2/2021,12:44:38 PM,0,0,Payment related,,,,12:44:38 PM
88,668014,6680-NENYN,Martha,1/2/2021,12:44:38 PM,0,1,Admin Support,45,1:26,4,12:46:04 PM
89,13435,1343-EHPYB,Joe,1/2/2021,12:59:02 PM,1,1,Technical Support,119,3:32,4,1:02:34 PM
90,20347,2034-GDRCN,Dan,1/2/2021,12:59:02 PM,0,0,Streaming,,,,12:59:02 PM
91,21925,0219-YTZUE,Jim,1/2/2021,1:03:22 PM,1,1,Contract related,46,5:41,1,1:09:03 PM
92,6239,0623-IIHUG,Stewart,1/2/2021,1:03:22 PM,1,1,Technical Support,101,1:28,3,1:04:50 PM
93,45724,4572-DVCGN,Jim,1/2/2021,1:04:48 PM,1,1,Technical Support,56,2:52,3,1:07:40 PM
94,905713,9057-MSWCO,Becky,1/2/2021,1:04:48 PM,1,1,Technical Support,80,0:53,3,1:05:41 PM
95,10104,1010-DIAUQ,Diane,1/2/2021,1:13:26 PM,1,1,Streaming,24,1:36,3,1:15:02 PM
96,2597,0259-GBZSH,Stewart,1/2/2021,1:13:26 PM,1,1,Payment related,113,3:54,2,1:17:20 PM
97,96012,9601-BRXPO,Greg,1/2/2021,1:20:38 PM,1,1,Contract related,19,2:03,4,1:22:41 PM
98,690514,6905-NIQIN,Martha,1/2/2021,1:20:38 PM,0,0,Streaming,,,,1:20:38 PM
99,516726,5167-ZFFMM,Dan,1/2/2021,1:20:38 PM,1,1,Contract related,45,6:37,3,1:27:15 PM
100,489520,4895-TMWIR,Diane,1/2/2021,1:20:38 PM,1,1,Technical Support,95,5:11,1,1:25:49 PM
101,5332,0533-BNWKF,Becky,1/2/2021,1:45:07 PM,0,0,Technical Support,,,,1:45:07 PM
102,65993,6599-CEBNN,Martha,1/2/2021,1:45:07 PM,0,1,Technical Support,79,5:31,1,1:50:38 PM
103,97916,0979-PHULV,Diane,1/2/2021,1:49:26 PM,1,1,Payment related,22,3:56,2,1:53:22 PM
104,480022,4800-VHZKI,Martha,1/2/2021,1:49:26 PM,1,1,Contract related,38,6:36,1,1:56:02 PM
105,79893,7989-CHGTL,Becky,1/2/2021,1:53:46 PM,1,1,Technical Support,112,3:25,5,1:57:11 PM
106,3347,0334-GDDSO,Becky,1/2/2021,1:53:46 PM,1,1,Payment related,65,4:57,3,1:58:43 PM
107,57819,0578-SKVMF,Joe,1/2/2021,2:22:34 PM,0,0,Streaming,,,,2:22:34 PM
108,556414,5564-NEMQO,Becky,1/2/2021,2:22:34 PM,0,1,Contract related,55,2:32,1,2:25:06 PM
109,906326,9063-ZGTUY,Stewart,1/2/2021,2:52:48 PM,0,0,Admin Support,,,,2:52:48 PM
110,295712,2957-LOLHO,Joe,1/2/2021,2:52:48 PM,1,1,Streaming,19,2:38,2,2:55:26 PM
111,775224,7752-XUSCI,Becky,1/2/2021,3:10:05 PM,1,1,Technical Support,53,0:56,3,3:11:01 PM
112,411016,4110-PFEUZ,Diane,1/2/2021,3:10:05 PM,1,1,Technical Support,24,6:06,5,3:16:11 PM
113,25612,0256-LTHVJ,Martha,1/2/2021,3:36:00 PM,1,1,Streaming,73,6:01,3,3:42:01 PM
114,88020,0880-TKATG,Stewart,1/2/2021,3:36:00 PM,0,0,Technical Support,,,,3:36:00 PM
115,381122,3811-VBYBZ,Jim,1/2/2021,5:36:58 PM,1,1,Technical Support,55,5:47,5,5:42:45 PM
116,464021,4640-UHDOS,Greg,1/2/2021,5:36:58 PM,0,0,Payment related,,,,5:36:58 PM
117,35835,3583-EKAPL,Diane,1/2/2021,5:47:02 PM,0,0,Streaming,,,,5:47:02 PM
118,93991,9399-APLBT,Martha,1/2/2021,5:47:02 PM,1,1,Streaming,23,5:18,4,5:52:20 PM
119,235911,2359-KMGLI,Dan,1/3/2021,9:10:05 AM,0,1,Payment related,124,2:23,5,9:12:28 AM
120,30610,0306-JAELE,Dan,1/3/2021,9:10:05 AM,0,0,Contract related,,,,9:10:05 AM
121,62278,6227-HWPWX,Dan,1/3/2021,9:47:31 AM,1,1,Technical Support,103,1:01,4,9:48:32 AM
122,4472,0447-BEMNG,Martha,1/3/2021,9:47:31 AM,1,1,Contract related,69,3:45,4,9:51:16 AM
123,594924,5949-XIKAE,Joe,1/3/2021,10:29:17 AM,1,1,Streaming,78,1:12,3,10:30:29 AM
124,837210,8372-JUXUI,Martha,1/3/2021,10:29:17 AM,1,1,Technical Support,78,3:26,5,10:32:43 AM
125,3885,0388-EOPEX,Martha,1/3/2021,10:37:55 AM,0,0,Technical Support,,,,10:37:55 AM
126,820515,8205-OTCHB,Diane,1/3/2021,10:37:55 AM,1,1,Payment related,44,5:38,4,10:43:33 AM
127,623522,6235-VDHOM,Martha,1/3/2021,10:52:19 AM,1,1,Admin Support,35,2:46,4,10:55:05 AM
128,778325,7783-YKGDV,Becky,1/3/2021,10:52:19 AM,1,1,Admin Support,102,5:26,4,10:57:45 AM
129,56093,5609-CEBID,Jim,1/3/2021,10:52:19 AM,1,1,Contract related,99,5:51,3,10:58:10 AM
130,72188,7218-HKQFK,Jim,1/3/2021,10:52:19 AM,1,1,Admin Support,29,4:09,3,10:56:28 AM
131,463617,4636-QRJKY,Becky,1/3/2021,10:58:05 AM,0,1,Admin Support,42,0:59,5,10:59:04 AM
132,595622,5956-VKDTT,Diane,1/3/2021,10:58:05 AM,1,1,Payment related,113,5:40,4,11:03:45 AM
133,94127,9412-GHEEC,Dan,1/3/2021,11:02:24 AM,1,1,Admin Support,124,0:53,2,11:03:17 AM
134,25726,0257-ZESQC,Jim,1/3/2021,11:02:24 AM,0,0,Technical Support,,,,11:02:24 AM
135,682521,6825-UYPFK,Dan,1/3/2021,11:03:50 AM,1,1,Payment related,55,2:13,1,11:06:03 AM
136,839713,8397-MVTAZ,Greg,1/3/2021,11:03:50 AM,0,1,Technical Support,105,5:59,3,11:09:49 AM
137,92829,9282-IZGQK,Stewart,1/3/2021,11:06:43 AM,0,1,Contract related,112,3:12,5,11:09:55 AM
138,134210,1342-JPNKI,Martha,1/3/2021,11:06:43 AM,0,0,Contract related,,,,11:06:43 AM
139,281714,2817-NTQDO,Becky,1/3/2021,11:16:48 AM,1,1,Technical Support,43,6:20,5,11:23:08 AM
140,69869,6986-IJDHX,Joe,1/3/2021,11:16:48 AM,1,1,Payment related,20,1:44,3,11:18:32 AM
141,53017,5301-GAUUY,Greg,1/3/2021,11:26:53 AM,1,1,Technical Support,84,1:43,5,11:28:36 AM
142,93925,0939-YAPAF,Jim,1/3/2021,11:26:53 AM,1,1,Contract related,20,2:44,4,11:29:37 AM
143,47106,4710-FDUIZ,Greg,1/3/2021,11:38:24 AM,1,1,Streaming,101,2:16,3,11:40:40 AM
144,121822,1218-VKFPE,Diane,1/3/2021,11:38:24 AM,1,1,Technical Support,31,2:55,5,11:41:19 AM
145,36276,3627-FHKBK,Jim,1/3/2021,11:52:48 AM,1,1,Contract related,56,4:09,5,11:56:57 AM
146,286520,2865-TCHJW,Joe,1/3/2021,11:52:48 AM,0,0,Contract related,,,,11:52:48 AM
147,51925,5192-EBGOV,Joe,1/3/2021,11:55:41 AM,1,1,Payment related,77,1:27,5,11:57:08 AM
148,71919,0719-SYFRB,Jim,1/3/2021,11:55:41 AM,1,1,Payment related,46,0:50,4,11:56:31 AM
149,341919,3419-SNJJD,Stewart,1/3/2021,11:58:34 AM,1,1,Admin Support,88,4:26,3,12:03:00 PM
150,65433,6543-CPZMK,Diane,1/3/2021,11:58:34 AM,1,1,Payment related,88,0:58,1,11:59:32 AM
151,476515,4765-OXPPD,Joe,1/3/2021,12:33:07 PM,1,1,Technical Support,124,6:03,1,12:39:10 PM
152,10099,1009-IRMNA,Stewart,1/3/2021,12:33:07 PM,0,0,Contract related,,,,12:33:07 PM
153,455425,4554-YGZIH,Martha,1/3/2021,12:54:43 PM,0,1,Payment related,52,6:59,4,1:01:42 PM
154,50992,5099-BAILX,Joe,1/3/2021,12:54:43 PM,1,1,Admin Support,67,6:10,5,1:00:53 PM
155,720718,7207-RMRDB,Martha,1/3/2021,1:12:00 PM,1,1,Payment related,119,4:16,3,1:16:16 PM
156,49135,4913-EHYUI,Dan,1/3/2021,1:12:00 PM,1,1,Admin Support,98,4:37,2,1:16:37 PM
157,1959,0195-IESCP,Jim,1/3/2021,1:14:53 PM,0,0,Technical Support,,,,1:14:53 PM
158,458020,4580-TMHJU,Joe,1/3/2021,1:14:53 PM,1,1,Technical Support,118,4:18,3,1:19:11 PM
159,9705,0970-ETWGE,Becky,1/3/2021,1:27:50 PM,1,1,Admin Support,123,1:15,3,1:29:05 PM
160,16265,1626-ERCMM,Becky,1/3/2021,1:27:50 PM,0,1,Streaming,86,5:37,1,1:33:27 PM
161,8878,0887-HJGAR,Greg,1/3/2021,1:35:02 PM,1,1,Admin Support,104,2:09,3,1:37:11 PM
162,564416,5644-PDMZC,Greg,1/3/2021,1:35:02 PM,1,1,Payment related,69,1:33,2,1:36:35 PM
163,95761,9576-ANLXO,Dan,1/3/2021,1:58:05 PM,1,1,Contract related,113,2:38,1,2:00:43 PM
164,20242,2024-BASKD,Joe,1/3/2021,1:58:05 PM,1,1,Streaming,88,3:23,5,2:01:28 PM
165,41601,4160-AMJTL,Joe,1/3/2021,1:58:05 PM,0,0,Streaming,,,,1:58:05 PM
166,446410,4464-JCOLN,Stewart,1/3/2021,1:58:05 PM,0,0,Payment related,,,,1:58:05 PM
167,565022,5650-VDUDS,Joe,1/3/2021,2:03:50 PM,1,1,Payment related,84,0:58,2,2:04:48 PM
168,75387,7538-GWHML,Diane,1/3/2021,2:03:50 PM,1,1,Streaming,113,1:22,3,2:05:12 PM
169,38593,3859-CVCET,Joe,1/3/2021,2:47:02 PM,1,1,Streaming,38,5:31,4,2:52:33 PM
170,32768,3276-HDUEG,Dan,1/3/2021,2:47:02 PM,1,1,Streaming,14,6:14,4,2:53:16 PM
171,8238,0823-HSCDJ,Martha,1/3/2021,3:34:34 PM,0,1,Streaming,25,5:32,4,3:40:06 PM
172,8227,0822-GAVAP,Dan,1/3/2021,3:34:34 PM,0,0,Contract related,,,,3:34:34 PM
173,144816,1448-PWKYE,Diane,1/3/2021,4:29:17 PM,0,0,Technical Support,,,,4:29:17 PM
174,674,0067-DKWBL,Joe,1/3/2021,4:29:17 PM,1,1,Payment related,117,2:07,4,4:31:24 PM
175,227625,2276-YDAVZ,Stewart,1/3/2021,5:31:12 PM,0,1,Payment related,57,6:01,2,5:37:13 PM
176,589614,5896-NPFWW,Martha,1/3/2021,5:31:12 PM,1,1,Technical Support,119,5:19,5,5:36:31 PM
177,713322,7133-VBDCG,Martha,1/4/2021,9:01:26 AM,0,0,Contract related,,,,9:01:26 AM
178,102917,1029-QFBEN,Diane,1/4/2021,9:01:26 AM,1,1,Streaming,93,6:32,5,9:07:58 AM
179,495225,4952-YSOGZ,Martha,1/4/2021,9:31:41 AM,1,1,Payment related,86,1:04,4,9:32:45 AM
180,15891,1589-AGTLK,Joe,1/4/2021,9:31:41 AM,0,0,Streaming,,,,9:31:41 AM
181,52449,5244-IRFIH,Dan,1/4/2021,9:43:12 AM,1,1,Contract related,92,2:59,3,9:46:11 AM
182,26845,2684-EIWEO,Greg,1/4/2021,9:43:12 AM,0,0,Streaming,,,,9:43:12 AM
183,64397,6439-GTPCA,Martha,1/4/2021,10:03:22 AM,1,1,Technical Support,106,5:42,3,10:09:04 AM
184,513823,5138-WVKYJ,Stewart,1/4/2021,10:03:22 AM,1,1,Technical Support,67,2:44,3,10:06:06 AM
185,668322,6683-VLCTZ,Jim,1/4/2021,10:27:50 AM,1,1,Streaming,90,4:17,3,10:32:07 AM
186,218923,2189-WWOEW,Diane,1/4/2021,10:27:50 AM,0,0,Technical Support,,,,10:27:50 AM
187,18949,1894-IGFSG,Becky,1/4/2021,11:09:36 AM,0,1,Streaming,50,3:49,4,11:13:25 AM
188,737916,7379-POKDZ,Diane,1/4/2021,11:09:36 AM,0,1,Admin Support,89,4:16,3,11:13:52 AM
189,2368,0236-HFWSV,Jim,1/4/2021,11:13:55 AM,1,1,Admin Support,74,6:18,3,11:20:13 AM
190,39001,3900-AQPHZ,Martha,1/4/2021,11:13:55 AM,1,1,Payment related,63,2:22,2,11:16:17 AM
191,584216,5842-POCOP,Becky,1/4/2021,11:18:14 AM,1,1,Contract related,45,6:31,5,11:24:45 AM
192,203724,2037-XJFUP,Martha,1/4/2021,11:18:14 AM,0,0,Technical Support,,,,11:18:14 AM
193,731415,7314-OXENN,Dan,1/4/2021,11:22:34 AM,1,1,Payment related,31,6:43,2,11:29:17 AM
194,3223,0322-CHQRU,Joe,1/4/2021,11:22:34 AM,0,0,Streaming,,,,11:22:34 AM
195,46784,4678-DVQEO,Joe,1/4/2021,11:32:38 AM,1,1,Contract related,43,3:44,5,11:36:22 AM
196,6919,0691-IFBQW,Martha,1/4/2021,11:32:38 AM,1,1,Streaming,50,5:42,4,11:38:20 AM
197,300910,3009-JWMPU,Dan,1/4/2021,12:02:53 PM,1,1,Technical Support,48,5:12,4,12:08:05 PM
198,14507,1450-GALXR,Martha,1/4/2021,12:02:53 PM,1,1,Admin Support,113,2:44,5,12:05:37 PM
199,31382,3138-BKYAV,Jim,1/4/2021,12:15:50 PM,0,0,Streaming,,,,12:15:50 PM
200,42894,4289-DTDKW,Joe,1/4/2021,12:15:50 PM,1,1,Technical Support,103,6:40,5,12:22:30 PM
201,182020,1820-TQVEV,Becky,1/4/2021,12:15:50 PM,0,1,Technical Support,95,4:27,3,12:20:17 PM
202,223910,2239-JALAW,Joe,1/4/2021,12:15:50 PM,1,1,Admin Support,30,5:04,1,12:20:54 PM
203,485318,4853-RULSV,Greg,1/4/2021,1:32:10 PM,1,1,Admin Support,124,3:19,3,1:35:29 PM
204,627525,6275-YDUVO,Diane,1/4/2021,1:32:10 PM,1,1,Admin Support,17,2:03,5,1:34:13 PM
205,11520,0115-TFERT,Stewart,1/4/2021,1:45:07 PM,1,1,Streaming,113,6:00,3,1:51:07 PM
206,231117,2311-QYMUQ,Jim,1/4/2021,1:45:07 PM,1,1,Technical Support,25,2:27,5,1:47:34 PM
207,36431,3643-AHCFP,Jim,1/4/2021,1:56:38 PM,1,1,Admin Support,52,4:22,5,2:01:00 PM
208,310415,3104-OWCGK,Dan,1/4/2021,1:56:38 PM,1,1,Admin Support,28,2:44,5,1:59:22 PM
209,91012,9101-BWFSS,Greg,1/4/2021,2:25:26 PM,1,1,Technical Support,69,3:05,3,2:28:31 PM
210,923126,9231-ZJYAM,Martha,1/4/2021,2:25:26 PM,1,1,Streaming,106,3:52,3,2:29:18 PM
211,698219,6982-SSHFK,Jim,1/4/2021,2:28:19 PM,0,0,Technical Support,,,,2:28:19 PM
212,7272,0727-BMPLR,Joe,1/4/2021,2:28:19 PM,1,1,Payment related,26,4:59,3,2:33:18 PM
213,103826,1038-ZAGBI,Joe,1/4/2021,2:31:12 PM,1,1,Payment related,53,5:55,4,2:37:07 PM
214,302726,3027-ZTDHO,Martha,1/4/2021,2:31:12 PM,1,1,Technical Support,77,4:10,2,2:35:22 PM
215,23822,2382-BCKQJ,Jim,1/4/2021,2:49:55 PM,1,1,Contract related,45,3:02,3,2:52:57 PM
216,220714,2207-NHRJK,Becky,1/4/2021,2:49:55 PM,0,0,Technical Support,,,,2:49:55 PM
217,94713,0947-MUGVO,Greg,1/4/2021,3:23:02 PM,1,1,Streaming,56,4:16,4,3:27:18 PM
218,99448,9944-HKVVB,Stewart,1/4/2021,3:23:02 PM,1,1,Admin Support,13,3:56,2,3:26:58 PM
219,412413,4124-MMETB,Stewart,1/4/2021,3:48:58 PM,1,1,Admin Support,120,6:50,5,3:55:48 PM
220,367119,3671-SHRSP,Diane,1/4/2021,3:48:58 PM,1,1,Payment related,22,0:50,1,3:49:48 PM
221,331317,3313-QKNKB,Martha,1/4/2021,4:48:00 PM,1,1,Payment related,81,3:21,4,4:51:21 PM
222,507323,5073-WXOYN,Jim,1/4/2021,4:48:00 PM,0,0,Streaming,,,,4:48:00 PM
223,20713,0207-MDKNV,Martha,1/4/2021,4:49:26 PM,1,1,Contract related,71,0:48,2,4:50:14 PM
224,985111,9851-KIELU,Stewart,1/4/2021,4:49:26 PM,1,1,Payment related,75,1:33,4,4:50:59 PM
225,39082,3908-BLSYF,Martha,1/4/2021,4:49:26 PM,1,1,Technical Support,77,2:42,4,4:52:08 PM
226,754913,7549-MYGPK,Joe,1/4/2021,4:49:26 PM,1,1,Streaming,88,6:27,4,4:55:53 PM
227,380418,3804-RVTGV,Stewart,1/4/2021,5:35:31 PM,1,1,Admin Support,82,3:05,2,5:38:36 PM
228,922712,9227-LUNBG,Jim,1/4/2021,5:35:31 PM,1,1,Technical Support,110,6:30,3,5:42:01 PM
229,431513,4315-MURBD,Martha,1/4/2021,5:39:50 PM,0,1,Admin Support,70,1:32,3,5:41:22 PM
230,973425,9734-YWGEX,Becky,1/4/2021,5:39:50 PM,1,1,Admin Support,117,3:40,3,5:43:30 PM
231,27192,2719-BDAQO,Joe,1/5/2021,9:08:38 AM,1,1,Streaming,18,0:50,3,9:09:28 AM
232,78112,0781-LKXBR,Joe,1/5/2021,9:08:38 AM,1,1,Streaming,113,2:36,4,9:11:14 AM
