Zip Code;Population
93609;5,446
93610;19,391
93611;46,858
93612;33,856
93614;9,395
93615;5,519
93616;1,965
93618;24,206
93620;9,388
93621;506
93622;9,491
93623;77
93624;1,852
93625;5,635
93626;1,125
93627;152
93628;93
93630;14,062
93631;14,088
93634;52
93635;29,124
93637;28,434
93638;49,247
93640;9,174
93641;571
93643;3,376
93644;8,521
93645;173
93646;8,449
93647;9,780
93648;12,587
93650;3,258
93651;1,314
93652;265
93653;972
93654;25,923
93656;5,729
93657;28,991
93660;4,318
93662;26,213
93664;642
93665;343
93666;306
93667;2,633
93668;1,130
93669;327
93673;646
93675;3,146
93701;13,858
93702;47,999
93703;31,180
93704;26,580
93705;35,451
93706;35,790
93710;29,337
93711;36,274
93720;45,087
93721;6,848
93722;60,889
93725;21,010
93726;39,148
93727;54,701
93728;16,346
93901;35,739
93905;58,548
93906;53,946
93907;22,292
93908;13,027
93920;1,006
93921;2,966
93923;13,121
93924;6,691
93925;1,140
93926;9,023
93927;14,204
93928;254
93930;14,477
93932;538
93933;21,759
93940;32,857
93950;15,449
93953;4,602
93954;521
93955;38,244
93960;13,003
93962;407
94002;25,566
94005;3,635
94010;40,346
94014;47,453
94015;63,337
94019;17,929
94020;1,622
94021;148
94022;18,486
94024;21,496
94025;39,062
94027;6,876
94028;6,601
94030;20,350
94037;2,346
94038;3,064
94040;32,143
94041;13,483
94043;27,822
94044;38,885
94060;2,055
94061;35,737
94062;25,569
94063;32,368
94065;10,658
94066;39,566
94070;28,098
94074;291
94080;60,599
94086;64,010
94087;50,070
94089;16,985
94102;28,998
94103;23,036
94104;384
94105;2,066
94107;17,372
94108;13,723
94109;56,330
94110;74,641
94111;3,337
94112;73,117
94114;30,587
94115;33,122
94116;42,959
94117;38,756
94118;38,955
94121;42,476
94122;55,504
94123;22,920
94124;33,177
94127;20,643
94129;2,240
94130;1,458
94131;27,906
94132;26,297
94133;26,831
94134;40,137
94301;16,198
94303;45,499
94304;1,723
94305;13,386
94306;24,492
94401;32,488
94402;23,393
94403;37,926
94404;31,882
94501;58,555
94502;13,996
94506;19,777
94507;15,187
94508;3,641
94509;90,891
94510;25,578
94511;2,379
94512;138
94513;26,577
94514;10,153
94515;7,384
94517;14,239
94518;27,394
94519;18,650
94520;36,186
94521;39,888
94523;32,685
94525;3,193
94526;32,873
94530;23,141
94533;77,683
94535;9,978
94536;66,543
94538;56,126
94539;46,917
94541;60,274
94542;11,147
94544;72,993
94545;27,311
94546;41,698
94547;22,479
94549;23,996
94550;75,929
94552;13,212
94553;46,677
94555;33,883
94556;16,510
94558;63,947
94559;26,894
94560;42,491
94561;27,607
94563;17,964
94564;16,717
94565;78,816
94566;36,669
94567;494
94568;29,636
94569;173
94571;5,246
94572;8,506
94574;9,423
94576;223
94577;41,871
94578;36,568
94579;19,815
94580;26,240
94583;44,078
94585;39,279
94586;790
94587;66,472
94588;28,568
94589;42,209
94590;37,218
94591;51,665
94592;159
94595;18,024
94596;40,917
94598;26,022
94599;2,873
94601;54,876
94602;28,900
94603;31,392
94605;42,854
94606;41,876
94607;21,054
94608;24,589
94609;21,097
94610;29,964
94611;36,517
94612;11,702
94618;15,438
94619;24,518
94621;30,751
94702;15,638
94703;19,763
94704;21,205
94705;12,448
94706;15,882
94707;11,889
94708;10,737
94709;10,147
94710;8,157
94801;28,450
94803;25,399
94804;39,089
94805;13,984
94806;55,720
94901;40,239
94903;28,403
94904;12,010
94920;13,065
94922;584
94923;1,785
94924;1,573
94925;9,038
94928;42,544
94929;330
94930;8,486
94931;7,936
94933;1,025
94937;1,004
94938;821
94939;6,773
94940;406
94941;28,727
94945;16,429
94946;607
94947;24,741
94949;13,361
94950;248
94951;3,777
94952;31,930
94954;35,419
94956;1,885
94960;16,849
94963;548
94964;6,448
94965;11,213
94970;781
94971;384
94972;66
94973;1,449
95002;2,147
95003;24,227
95004;3,373
95005;6,407
95006;10,520
95007;1,007
95008;44,976
95010;9,673
95012;8,582
95014;54,431
95017;857
95018;8,728
95019;4,753
95020;49,968
95023;47,514
95030;13,290
95032;24,443
95033;10,172
95035;62,848
95037;41,707
95039;899
95041;77
95043;813
95045;3,402
95046;5,671
95050;36,349
95051;52,986
95054;13,031
95060;43,192
95062;36,631
95064;4,563
95065;8,365
95066;14,574
95070;30,589
95073;9,823
95076;81,141
95110;18,197
95111;57,748
95112;52,334
95113;561
95116;51,706
95117;29,914
95118;31,926
95119;10,155
95120;37,090
95121;37,127
95122;59,841
95123;59,632
95124;45,257
95125;46,185
95126;27,023
95127;60,620
95128;32,804
95129;37,570
95130;13,481
95131;26,389
95132;40,568
95133;26,032
95134;9,657
95135;15,798
95136;36,944
95138;14,792
95139;7,023
95140;38
95148;44,103
95202;7,071
95203;16,357
95204;30,476
95205;34,138
95206;49,657
95207;49,965
95209;30,814
95210;40,611
95212;6,951
95215;23,789
95219;19,109
95220;6,317
95221;676
95222;4,264
95223;5,159
95224;115
95225;27
95226;75
95227;722
95228;2,633
95230;596
95231;5,094
95232;21
95233;335
95236;3,148
95237;3,205
95240;45,755
95242;22,073
95245;2,718
95246;1,692
95247;4,353
95249;3,930
95250;88
95251;460
95252;11,266
95254;304
95255;2,198
95257;435
95258;4,176
95301;27,808
95303;809
95305;167
95306;986
95307;32,881
95310;2,144
95311;2,271
95312;55
95313;1,508
95315;10,159
95316;5,513
95317;808
95318;579
95320;11,474
95321;3,680
95322;7,872
95323;1,055
95324;7,177
95325;128
95326;6,822
95327;9,559
95328;2,130
95329;1,749
95330;10,834
95333;3,256
95334;12,672
95335;683
95336;36,738
95337;19,867
95338;10,226
95340;59,289
95345;433
95346;1,278
95348;23,100
95350;52,872
95351;47,536
95354;27,135
95355;47,613
95356;26,055
95357;13,343
95358;30,668
95360;8,504
95361;25,384
95363;15,536
95364;235
95365;4,150
95366;12,646
95367;16,525
95368;12,466
95369;1,158
95370;25,340
95372;1,519
95374;1,960
95376;69,801
95379;3,979
95380;40,545
95382;24,708
95383;4,848
95385;274
95386;8,308
95387;899
95388;11,463
95389;1,750
95401;36,125
95403;40,270
95404;35,057
95405;22,250
95407;30,876
95409;25,718
95410;1,054
95412;747
95415;1,374
95417;176
95419;436
95420;333
95421;1,575
95422;13,485
95423;3,684
95424;103
95425;9,210
95426;1,591
95427;371
95428;2,296
95429;91
95430;187
95431;363
95432;383
95436;6,216
95437;14,417
95439;476
95441;2,349
95442;4,101
95443;175
95444;390
95445;1,916
95446;4,913
95448;17,979
95449;1,373
95450;438
95451;9,902
95452;1,653
95453;11,180
95454;2,706
95456;882
95457;2,644
95458;3,002
95459;586
95460;2,229
95461;7,789
95462;1,537
95463;148
95464;2,223
95465;1,880
95466;1,113
95468;1,352
95469;1,884
95470;5,995
95471;298
95472;31,266
95476;34,314
95480;30
95481;109
95482;30,988
95485;2,344
95488;309
95490;13,472
95492;23,701
95493;240
95494;335
95497;752
95501;23,224
95502;183
95503;23,570
95511;261
95514;199
95519;15,921
95521;19,596
95524;1,689
95525;1,584
95526;695
95527;485
95528;1,072
95531;23,792
95536;2,965
95537;228
95540;12,241
95542;2,423
95543;532
95545;82
95546;3,041
95547;1,201
95548;1,215
95549;264
95550;155
95551;1,447
95552;265
95553;867
95554;644
95555;494
95556;574
95558;300
95559;163
95560;1,851
95562;3,284
95563;660
95564;395
95565;1,125
95567;2,020
95568;202
95569;400
95570;2,369
95571;270
95573;1,666
95585;321
95587;200
95589;743
95595;259
95601;222
95602;18,197
95603;24,944
95605;12,756
95606;382
95607;262
95608;58,830
95610;43,718
95612;1,417
95613;49
95614;3,674
95615;699
95616;67,411
95618;648
95619;4,426
95620;18,529
95621;41,636
95623;4,097
95624;38,534
95625;171
95626;6,197
95627;2,756
95628;40,750
95629;850
95630;51,855
95631;5,714
95632;24,194
95633;2,536
95634;2,723
95635;1,140
95636;659
95637;228
95638;1,745
95639;213
95640;9,752
95641;2,010
95642;6,202
95645;1,793
95646;129
95648;15,286
95650;11,191
95651;485
95653;844
95655;929
95658;6,096
95659;751
95660;32,202
95661;25,173
95662;32,040
95663;2,048
95664;1,173
95665;4,354
95666;5,501
95667;34,146
95668;901
95669;2,220
95670;49,729
95672;3,815
95673;14,010
95674;947
95675;364
95676;383
95677;21,510
95678;30,614
95681;1,219
95682;24,738
95683;4,731
95684;2,958
95685;4,610
95686;1,472
95687;63,157
95688;32,564
95689;1,273
95690;2,344
95691;19,050
95692;3,600
95693;5,889
95694;8,406
95695;38,547
95701;751
95703;1,526
95709;4,829
95713;8,525
95714;350
95715;185
95717;407
95720;183
95721;69
95722;3,747
95726;8,577
95728;88
95735;25
95736;31
95742;299
95746;20,675
95747;25,418
95758;47,065
95762;22,028
95765;15,494
95776;15,022
95814;16,599
95815;25,355
95816;16,164
95817;14,966
95818;21,313
95819;15,975
95820;37,031
95821;35,426
95822;44,683
95823;72,199
95824;30,580
95825;30,715
95826;38,818
95827;19,611
95828;54,880
95829;11,396
95830;592
95831;42,832
95832;9,063
95833;31,422
95834;8,403
95835;854
95836;16
95837;264
95838;34,894
95841;20,993
95842;31,373
95843;36,432
95864;23,362
95901;38,091
95903;5,654
95910;118
95912;4,796
95913;218
95914;626
95916;1,279
95917;3,169
95918;1,477
95919;1,237
95920;303
95922;632
95923;86
95925;262
95926;35,808
95928;32,848
95930;282
95932;7,503
95934;178
95935;614
95936;404
95937;19
95938;3,524
95939;587
95941;452
95942;1,351
95943;1,454
95944;76
95945;23,990
95946;9,752
95947;2,064
95948;9,763
95949;17,922
95950;531
95951;1,931
95953;8,695
95954;11,168
95955;1,146
95956;301
95957;776
95959;17,269
95960;565
95961;6,439
95962;1,519
95963;13,706
95965;17,782
95966;28,382
95968;1,254
95969;28,318
95970;495
95971;6,189
95972;140
95973;26,971
95974;74
95975;1,601
95977;963
95978;28
95979;844
95981;101
95982;3,193
95983;513
95984;73
95986;145
95987;4,579
95988;8,812
95991;34,967
95993;27,786
96001;31,586
96002;30,338
96003;41,476
96006;615
96007;21,418
96008;899
96009;595
96010;269
96011;265
96013;4,552
96014;290
96015;417
96016;344
96017;228
96019;6,277
96020;2,664
96021;13,840
96022;12,348
96023;1,162
96024;960
96025;2,602
96027;2,156
96028;1,902
96029;84
96031;170
96032;2,345
96033;373
96034;392
96035;3,357
96037;295
96038;616
96039;1,294
96040;397
96041;2,511
96044;1,026
96046;268
96047;911
96048;734
96050;482
96051;1,236
96052;1,845
96054;386
96055;3,756
96056;1,554
96057;1,586
96058;816
96059;598
96061;78
96062;830
96063;124
96064;4,592
96065;431
96067;7,309
96068;240
96069;829
96071;182
96073;4,931
96074;263
96075;433
96076;215
96080;26,438
96084;459
96085;88
96086;332
96087;528
96088;4,231
96090;405
96091;734
96092;439
96093;3,749
96094;5,896
96096;843
96097;9,538
96101;5,096
96103;1,839
96104;857
96105;650
96106;88
96107;1,332
96108;104
96109;1,177
96110;132
96112;231
96113;946
96114;3,093
96115;124
96116;277
96117;385
96118;1,822
96119;85
96120;957
96121;481
96122;4,236
96123;61
96124;322
96125;348
96126;227
96128;408
96130;19,440
96132;72
96133;116
96134;2,595
96136;162
96137;4,158
96140;1,943
96141;858
96142;1,291
96143;4,806
96145;4,002
96146;942
96148;678
96150;33,038
96161;15,783
