Customer ID,new customer id,Avg Monthly Long Distance Charges,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,internet_service_id,quota
4208-UFFGW,420821,26.62,1,DSL,11,0,0,0,0,0,0,0,1,44.95,85.15,0,0,53.24,57,80
9889-TMAHG,988920,11.57,1,Fiber Optic,27,1,0,0,1,1,1,1,1,100.3,832.35,0,0,92.56,58,80
8919-FYFQZ,89196,0,1,Cable,28,0,1,0,0,0,0,0,1,30.35,1359.7,0,0,0,59,80
6646-QVXLR,664617,7.11,1,Fiber Optic,16,0,1,1,0,1,1,1,1,103.75,6383.35,0,0,440.82,60,80
9369-XFEHK,936924,33.19,1,Cable,15,0,1,0,0,0,0,0,1,80.6,2656.5,0,0,1095.27,61,80
1374-DMZUI,13744,49.5,1,Fiber Optic,23,0,0,0,0,1,1,1,1,94.3,424.45,0,0,198,62,80
1989-PRJHP,198916,10.6,1,Fiber Optic,23,0,0,0,0,0,0,0,1,75.5,1893.95,0,0,286.2,63,80
4822-RVYBB,482218,40.45,1,Fiber Optic,29,0,0,1,0,1,1,0,1,100.6,819.4,0,0,323.6,64,80
4184-TJFAN,418420,25.77,1,Fiber Optic,2,1,0,0,1,1,0,0,1,88.3,273.75,0,0,77.31,65,80
4145-UQXUQ,414521,42.93,1,Fiber Optic,9,0,0,1,0,1,1,0,1,92.1,729.95,0,0,343.44,66,80
1236-WFCDV,123623,11.31,1,Fiber Optic,24,0,0,0,0,1,1,0,1,90.45,1266.1,0,0,158.34,67,80
1271-SJBGZ,127119,0,1,DSL,10,0,0,1,1,0,1,0,1,43.65,526.95,0,0,0,68,80
4441-NIHPT,444114,40.37,1,Fiber Optic,21,0,0,1,0,0,0,0,1,74.3,940.35,0,0,524.81,69,80
8999-BOHSE,89992,3.96,1,Fiber Optic,27,0,0,0,0,1,1,0,1,89.7,1047.7,0,0,43.56,70,80
7029-RPUAV,702918,28.18,1,Cable,16,0,0,1,0,1,1,0,1,100.45,1622.45,0,0,479.06,71,80
8111-SLLHI,811119,33.25,1,Fiber Optic,26,0,1,1,0,1,1,1,1,105.65,4284.8,0,0,1296.75,72,80
5293-WXJAK,529323,17.25,1,Fiber Optic,27,0,0,1,1,1,1,0,1,104.05,1133.65,0,0,189.75,73,80
4086-YQSNZ,408625,3.29,1,Fiber Optic,9,0,0,0,0,1,0,0,1,80.4,224.05,0,0,9.87,74,80
8399-YNDCH,839925,34.62,1,DSL,14,0,0,1,0,1,0,0,1,60.05,1236.15,0,0,727.02,75,80
5565-FILXA,55656,38.75,1,Fiber Optic,16,0,0,0,0,1,1,0,1,96.15,1529.2,0,0,620,76,80
4187-CINZD,41873,6.13,1,Fiber Optic,30,0,1,0,0,1,1,0,1,95.25,4424.2,0,0,281.98,77,80
6818-WOBHJ,681823,24.13,1,Fiber Optic,24,0,1,0,0,0,1,0,1,89.6,6127.6,0,0,1640.84,78,80
9134-CEQMF,91343,13.63,1,Fiber Optic,27,0,0,0,0,1,1,0,1,89.5,676.7,0,0,95.41,79,80
8519-IMDHU,85199,45.25,1,Cable,22,0,0,0,0,0,1,0,1,85.6,1345.55,0,0,678.75,80,80
3372-KWFBM,337211,19.18,1,Fiber Optic,22,0,0,0,0,1,0,0,1,86.6,1281,0,0,306.88,81,80
7206-GZCDC,72067,29.68,1,Cable,18,0,0,0,0,0,0,0,1,69.25,69.25,0,0,29.68,82,80
1768-ZAIFU,176826,0,1,Cable,5,0,0,0,0,0,0,0,1,25.2,25.2,0,0,0,83,80
3793-MMFUH,379313,19.03,1,Fiber Optic,24,0,0,0,0,1,1,1,1,95.05,1290,0,0,247.39,84,80
6567-HOOPW,65678,20.06,1,Fiber Optic,24,0,0,0,0,1,0,0,1,79.2,79.2,0,0,20.06,85,80
8621-MNIHH,862113,2.88,1,Fiber Optic,4,0,1,1,0,0,1,0,1,94.25,3217.55,0,0,97.92,86,80
5419-CONWX,54193,12.68,1,Fiber Optic,10,0,1,1,0,1,1,1,1,99.8,442.85,0,0,50.72,87,80
7024-OHCCK,702415,19.27,1,Fiber Optic,18,0,0,0,0,1,1,0,1,93.85,170.85,0,0,38.54,88,80
5357-TZHPP,535720,30.8,1,Fiber Optic,18,0,0,0,0,0,1,0,1,84.4,732.5,0,0,277.2,89,80
0506-LVNGN,50612,42.33,1,Fiber Optic,9,0,0,1,0,0,0,0,1,75.55,349.65,0,0,211.65,90,80
9809-IMGCQ,98099,40.18,1,Fiber Optic,8,0,0,0,0,1,1,1,0,96.7,2082.95,0,100,883.96,91,80
3254-YRILK,325425,39.97,1,Fiber Optic,9,0,1,0,0,1,0,0,1,88.2,1775.8,0,0,759.43,92,80
0529-ONKER,52915,46.38,1,Fiber Optic,19,0,0,0,0,0,0,0,1,75.65,1146.65,0,0,695.7,93,80
5240-IJOQT,52409,11.34,1,Fiber Optic,20,0,0,0,0,0,0,0,1,74.7,74.7,0,0,11.34,94,80
0661-XEYAN,66124,0,1,DSL,26,0,0,0,0,0,0,0,0,25.8,25.8,0,20,0,95,80
2660-EMUBI,26605,41.37,1,Fiber Optic,14,0,0,0,0,1,1,0,1,95.35,898.35,0,0,413.7,96,80
7675-OZCZG,767515,30.14,1,DSL,6,0,0,0,0,0,0,0,0,45,127.1,0,10,90.42,97,80
9391-EOYLI,93915,6.97,1,Fiber Optic,19,0,0,0,0,0,1,0,1,80.45,950.2,0,0,83.64,98,80
2761-OCIAX,276115,6.51,1,Fiber Optic,11,0,1,0,0,0,0,0,1,74.7,165.4,0,0,13.02,99,80
3068-OMWZA,306815,49.6,1,Fiber Optic,20,0,0,1,0,1,0,0,0,88.8,88.8,0,10,49.6,100,80
4154-AQUGT,41541,1.47,1,Fiber Optic,5,0,1,0,1,0,1,0,1,89.05,1169.35,0,0,19.11,101,80
8017-LXHFA,801712,31.17,1,Fiber Optic,23,0,1,0,0,1,1,0,1,94.75,2293.6,0,0,716.91,102,80
4248-QPAVC,424817,36.82,1,Fiber Optic,6,1,0,1,0,0,0,0,1,85.35,1463.45,0,0,625.94,103,80
4690-LLKUA,469012,40.93,1,DSL,2,0,0,0,0,0,0,0,1,45.05,770.6,0,0,695.81,104,80
9490-DFPMD,94904,9.53,1,Fiber Optic,17,0,0,0,0,1,0,0,1,84.65,3541.35,0,0,400.26,105,80
8580-AECUZ,85801,42.3,1,Fiber Optic,16,0,0,0,0,1,0,0,1,79.1,79.1,0,0,42.3,106,80
5047-LHVLY,504712,39.78,1,Cable,12,0,0,1,0,0,0,0,1,50.15,50.15,0,0,39.78,107,80
8375-DKEBR,83754,34.51,1,Fiber Optic,15,0,0,0,0,0,0,0,1,69.6,69.6,0,0,34.51,108,80
7279-BUYWN,72792,27.95,1,Fiber Optic,23,1,1,1,0,1,1,1,1,113.2,4689.5,0,0,1145.95,109,80
7156-MHUGY,715613,26.11,1,Fiber Optic,4,0,0,0,0,1,1,1,0,90.5,1201.15,29.84,140,339.43,110,80
9606-PBKBQ,960616,5.99,1,Fiber Optic,23,0,0,0,0,0,1,1,1,85,2642.05,49.57,0,191.68,111,80
3536-IQCTX,35369,49.6,1,Fiber Optic,10,0,0,0,0,0,1,1,1,85.3,2661.1,0,0,1587.2,112,80
3132-TVFDZ,313220,0,1,Cable,3,0,0,0,0,1,1,1,1,44.85,2572.95,12.07,0,0,113,80
8080-DDEMJ,80804,15.28,1,Cable,14,0,0,0,0,0,0,0,1,45.1,45.1,0,0,15.28,114,80
6702-OHFWR,670215,0,1,DSL,26,0,1,1,0,0,1,0,1,43.3,43.3,0,0,0,115,80
4510-PYUSH,451016,26.1,1,DSL,27,1,1,0,0,0,0,0,1,57.15,2250.65,0,0,991.8,116,80
8840-DQLGN,88404,15.98,1,Cable,22,1,1,0,1,1,0,0,1,100.5,3653.35,0,0,559.3,117,80
4193-ORFCL,419315,15.24,1,DSL,14,0,0,0,0,0,0,0,1,45.1,45.1,0,0,15.24,118,80
7776-QWNFX,777617,4.65,1,DSL,29,0,1,0,0,0,0,0,1,50.4,1527.5,0,0,139.5,119,80
6689-TCZHQ,668920,12.27,1,Fiber Optic,20,0,0,0,0,0,1,0,1,78.95,378.4,0,0,61.35,120,80
9497-QCMMS,949717,30.17,1,Fiber Optic,6,0,0,0,0,1,1,0,1,93.55,93.55,0,0,30.17,121,80
3424-NMNBO,342414,49.38,1,Fiber Optic,19,1,1,1,0,1,1,0,1,108.85,6287.25,0,0,2864.04,122,80
4514-GFCFI,45147,17.51,1,Fiber Optic,7,0,0,0,0,1,0,0,1,84.75,1350.15,0,0,280.16,123,80
8000-REIQB,800018,22.5,1,Fiber Optic,27,0,0,0,0,0,0,0,0,69.95,69.95,0,10,22.5,124,80
4795-KTRTH,479511,47.28,1,Fiber Optic,11,0,1,0,0,0,0,0,0,81,371.65,40.64,10,236.4,125,80
9961-JBNMK,996110,42.27,1,Fiber Optic,7,0,0,1,0,1,1,0,1,96.8,2030.3,10.2,0,887.67,126,80
6179-GJPSO,61797,31.83,1,Fiber Optic,10,1,1,0,1,1,1,0,1,108.15,4600.7,0,0,1368.69,127,80
8290-YWKHZ,829025,33.74,1,Fiber Optic,6,0,0,0,0,1,1,0,1,93.2,2931,17.88,0,1079.68,128,80
8051-HJRLT,80518,18.2,1,Fiber Optic,13,0,0,0,0,0,0,0,1,70.55,70.55,0,0,18.2,129,80
4021-RQSNY,402118,25.78,1,Fiber Optic,28,0,0,1,0,1,1,1,0,98.5,3004.15,37.55,40,747.62,130,80
9061-TIHDA,906120,31.7,1,Cable,6,0,0,0,0,1,1,1,1,95.25,1233.65,48.09,0,412.1,131,80
8699-ASUFO,86991,8.92,1,Fiber Optic,17,0,0,0,0,0,0,0,1,74.4,527.9,32.46,0,62.44,132,80
4695-WJZUE,469523,21.57,1,Fiber Optic,28,0,0,1,0,0,1,1,1,88.55,179.25,0,0,43.14,133,80
3988-RQIXO,398818,43.61,1,Fiber Optic,2,0,0,0,0,1,1,1,1,91.3,91.3,0,0,43.61,134,80
5931-FLJJF,59316,16.05,1,Fiber Optic,22,0,0,0,0,0,0,0,1,70.1,467.55,20.23,0,112.35,135,80
3207-OYBWH,320715,49.91,1,Fiber Optic,21,0,1,1,0,0,1,0,1,95.25,5427.05,12.59,0,2844.87,136,80
7216-EWTRS,72165,17.35,1,Fiber Optic,23,0,0,1,0,1,1,0,1,100.8,100.8,0,0,17.35,137,80
2528-HFYZX,25288,1.05,1,Fiber Optic,8,0,1,0,0,0,0,0,1,76.45,1233.4,0,0,17.85,138,80
4140-MUHUG,414013,18.38,1,Fiber Optic,20,0,0,1,0,1,0,0,1,86.85,220.95,0,0,55.14,139,80
1587-FKLZB,15876,28.86,1,Fiber Optic,25,0,0,1,0,1,1,0,1,99.5,6822.15,0,0,1904.76,140,80
5440-FLBQG,54406,48.88,1,Fiber Optic,4,0,1,1,1,1,1,0,1,108.4,7318.2,0,0,3372.72,141,80
2774-LVQUS,277412,44.13,1,Fiber Optic,3,0,0,1,1,0,0,0,0,83.05,1258.3,0,110,661.95,142,80
4612-THJBS,461220,34.58,1,Fiber Optic,4,0,1,1,0,1,1,0,1,104.75,5510.65,0,0,1936.48,143,80
4094-NSEDU,409414,21.15,1,Fiber Optic,9,0,0,0,0,1,1,0,1,94.25,1973.75,0,0,444.15,144,80
1846-XWOQN,184624,47.97,1,Fiber Optic,8,0,0,0,0,0,0,0,1,70.15,70.15,0,0,47.97,145,80
3757-NJYBX,375714,7.92,1,Fiber Optic,3,0,1,1,0,1,1,0,1,106.35,3520.75,0,0,253.44,146,80
9898-KZQDZ,989811,49.5,1,Fiber Optic,20,0,0,0,0,1,1,1,1,94.55,3640.45,0,0,1980,147,80
8263-JQAIK,826310,0,1,DSL,6,0,0,0,0,0,0,0,1,24.45,47.5,0,0,0,148,80
2205-YMZZJ,220525,39.51,1,Fiber Optic,13,0,0,0,0,1,0,0,0,84.8,546.95,0,0,276.57,149,80
1254-IZEYF,12549,39.36,1,Fiber Optic,4,0,1,0,0,1,1,0,1,99.95,3186.65,0,0,1220.16,150,80
9221-OTIVJ,922115,29.96,1,Fiber Optic,7,0,1,1,0,1,1,0,1,104.85,1531.4,0,0,419.44,151,80
5908-QMGOE,590817,23.53,1,Fiber Optic,9,0,0,0,0,0,0,0,1,74.2,1133.9,43.31,0,352.95,152,80
0397-GZBBC,3977,10.78,1,Fiber Optic,15,0,0,0,0,1,1,0,1,93.85,5574.75,8.13,0,636.02,153,80
7641-EUYET,76415,49.11,1,Fiber Optic,17,1,1,1,0,1,0,0,1,100.7,4541.2,46.64,0,2259.06,154,80
8922-LIEGH,892212,36.36,1,Fiber Optic,6,0,1,0,0,0,1,0,1,89.7,2187.55,23.33,0,909,155,80
8245-UMPYT,824521,32.11,1,Fiber Optic,14,0,0,0,0,1,1,0,1,96.4,1581.2,47.2,0,513.76,156,80
5186-SAMNZ,518619,41.2,1,Fiber Optic,15,0,0,0,0,0,0,0,0,69.5,69.5,0,80,41.2,157,80
5373-SFODM,537319,24.54,1,Fiber Optic,5,0,0,0,0,0,1,1,1,85.25,3132.75,0,0,883.44,158,80
0022-TCJCI,2220,10.67,1,DSL,17,1,0,1,0,0,1,0,1,62.7,2791.5,0,0,480.15,159,80
5130-IEKQT,51309,46.34,1,Fiber Optic,22,0,1,1,0,1,1,0,1,105.95,2655.25,0,0,1158.5,160,80
3269-ATYWD,32691,41.93,1,Fiber Optic,23,0,0,0,0,1,1,0,0,95.65,3759.05,0,150,1635.27,161,80
0354-WYROK,35423,47.95,1,Fiber Optic,21,0,0,1,1,1,1,0,1,98.9,2911.3,0,0,1486.45,162,80
7576-OYWBN,757615,30.25,1,Fiber Optic,28,0,0,0,0,0,0,0,1,76.05,231.8,0,0,90.75,163,80
5539-TMZLF,553920,33.84,1,Fiber Optic,5,0,0,0,0,0,0,0,1,69.75,69.75,0,0,33.84,164,80
3336-JORSO,333610,17.24,1,Fiber Optic,25,0,1,1,1,1,1,1,0,110.45,3655.45,0,70,568.92,165,80
6861-XWTWQ,686124,42.92,1,Fiber Optic,2,0,0,1,0,1,1,1,1,99.25,665.45,0,0,300.44,166,80
4283-FUTGF,42836,16.78,1,Fiber Optic,15,0,0,1,0,0,0,0,1,79.85,1471.75,0,0,318.82,167,80
2397-BRLOM,23972,26.99,1,Fiber Optic,2,0,0,0,0,1,0,0,1,80.45,583.45,0,0,215.92,168,80
8510-AWCXC,85101,7.22,1,Fiber Optic,28,1,0,0,0,1,1,0,1,100.8,1308.1,0,0,93.86,169,80
8225-BTJAU,82252,7.51,1,Fiber Optic,18,0,0,0,0,0,1,0,1,79.25,793.55,0,0,75.1,170,80
1724-BQUHA,17242,45.72,1,Fiber Optic,6,0,0,0,0,1,1,0,1,89.5,477.7,0,0,228.6,171,80
4826-XTSOH,482624,38.78,1,Fiber Optic,23,0,0,0,0,1,0,0,1,86.05,86.05,0,0,38.78,172,80
2408-WITXK,240823,0,1,DSL,4,0,0,0,0,0,1,0,1,34.7,329.8,0,0,0,173,80
2634-HCZGT,26348,21.67,1,Cable,6,1,0,0,1,0,0,0,0,60.05,3229.65,0,100,1148.51,174,80
7503-QQRVF,750317,26.12,1,Fiber Optic,8,0,1,0,0,0,0,0,1,74.3,1178.25,0,0,417.92,175,80
0709-TVGUR,70920,17.56,1,Fiber Optic,27,0,0,0,0,0,0,0,1,74.55,622.9,33.25,0,158.04,176,80
3001-CBHLQ,30013,43.51,1,Fiber Optic,22,0,0,1,1,1,1,0,1,104.9,3351.55,33.73,0,1392.32,177,80
4102-OQUPX,410215,17.36,1,Fiber Optic,29,0,0,0,0,0,0,0,0,74.4,74.4,0,30,17.36,178,80
3999-QGRJH,399917,14.89,1,Fiber Optic,20,0,0,0,0,0,0,0,1,69.7,560.85,0,0,119.12,179,80
2454-RPBRZ,245418,30.63,1,Fiber Optic,27,0,1,1,0,1,0,0,1,98.1,1060.2,49.06,0,367.56,180,80
2265-CYWIV,22653,18.91,1,Fiber Optic,20,1,0,0,0,1,1,0,1,99.6,347.65,25.79,0,75.64,181,80
4550-VBOFE,455022,17.45,1,Fiber Optic,20,0,1,1,0,1,1,0,1,102.95,7101.5,15.24,0,1221.5,182,80
7409-KIUTL,740911,28.64,1,Fiber Optic,5,0,0,0,0,0,0,0,1,71,71,0,0,28.64,183,80
1732-VHUBQ,173222,26.95,1,Fiber Optic,26,0,0,0,0,0,0,0,1,70.55,3309.25,26.99,0,1266.65,184,80
0679-IDSTG,6799,37.3,1,Fiber Optic,8,0,0,0,0,0,0,0,1,69.25,69.25,0,0,37.3,185,80
8802-UNOJF,880221,28.63,1,Cable,7,0,1,1,1,0,0,0,0,83.8,1029.75,44.58,80,343.56,186,80
6313-GIDIT,63137,0,1,DSL,25,0,1,1,0,1,1,0,1,54.45,2854.55,20.16,0,0,187,80
2845-AFFTX,28451,22.56,1,Fiber Optic,15,0,0,1,0,1,1,0,1,99.8,4259.3,8.88,0,924.96,188,80
2815-CPTUL,28153,2.27,1,Fiber Optic,17,0,0,0,0,0,0,0,1,70.25,331.9,12.48,0,11.35,189,80
1891-FZYSA,18916,16.34,1,Fiber Optic,4,0,1,0,0,1,0,0,0,89.95,6143.15,6.79,110,1127.46,190,80
9685-WKZGT,968523,16.32,1,Fiber Optic,11,0,0,0,0,0,0,0,1,74.95,1036.75,39.29,0,228.48,191,80
6022-UGGSO,602221,33.22,1,Fiber Optic,9,0,1,0,0,0,0,0,1,74.4,2276.95,44.31,0,1063.04,192,80
3923-CSIHK,39233,4.6,1,Cable,24,0,0,0,0,0,0,0,1,71.05,3444.85,0,0,230,193,80
3677-IYRBF,36779,0,1,DSL,13,0,0,1,0,0,0,0,1,30.4,78.65,0,0,0,194,80
8118-LSUEL,811812,17.62,1,Fiber Optic,29,0,1,1,0,1,1,0,1,106.4,2483.5,0,0,405.26,195,80
5277-ZLOOR,527726,5.49,1,Fiber Optic,25,0,0,0,0,1,0,0,1,85.55,187.45,0,0,10.98,196,80
4248-HCETZ,42488,6.23,1,Fiber Optic,4,0,1,1,0,0,0,0,1,79.65,2365.15,0,0,186.9,197,80
5307-DZCVC,53074,48.95,1,Fiber Optic,9,0,0,0,0,1,0,0,1,85.95,2628.6,0,0,1566.4,198,80
8679-JOEVF,867910,36.83,1,DSL,16,0,0,0,1,1,0,0,1,59.4,1023.9,0,0,589.28,199,80
4803-AXVYP,48031,47.39,1,Fiber Optic,2,0,0,0,1,1,1,0,1,99.55,3734.25,0,0,1800.82,200,80
5649-ANRML,56491,12.96,1,Fiber Optic,20,0,1,1,1,0,1,0,1,95.1,180.25,0,0,25.92,201,80
7395-IGJOS,73959,9.5,1,Fiber Optic,16,0,0,0,0,0,1,0,1,81.5,1329.2,0,0,161.5,202,80
7890-VYYWG,789022,0,1,DSL,20,0,0,0,0,1,0,0,1,36.45,93.7,0,0,0,203,80
9907-SWKKF,990719,0,1,DSL,21,0,0,0,0,0,0,0,1,25.05,25.05,0,0,0,204,80
6397-JNZZG,639710,0,1,DSL,21,0,1,1,0,1,1,0,1,55.55,2342.2,0,0,0,205,80
7779-LGOVN,777912,46.5,1,Cable,4,0,0,0,0,0,1,0,1,86.65,856.65,0,0,465,206,80
9710-ZUSHQ,971026,41.85,1,Fiber Optic,2,1,1,0,0,1,1,0,1,106.75,4056.75,0,0,1548.45,207,80
3902-FOIGH,39026,48.5,1,Fiber Optic,4,0,1,0,0,1,1,0,1,101.35,1218.55,0,0,582,208,80
3318-OSATS,331815,35.1,1,Fiber Optic,29,0,0,0,0,1,1,0,0,95.45,3474.05,0,80,1228.5,209,80
2636-ALXXZ,26361,45.8,1,Fiber Optic,10,0,0,0,0,0,0,0,1,69.6,69.6,0,0,45.8,210,80
9885-CSMWE,98853,18.37,1,Fiber Optic,13,0,0,0,0,1,0,0,1,78.45,78.45,0,0,18.37,211,80
8058-JMEQO,805810,12.91,1,Fiber Optic,21,0,0,0,0,0,1,0,1,84.45,762.5,0,0,116.19,212,80
7657-DYEPJ,76574,5.75,1,Cable,30,0,1,1,1,1,0,0,1,70.15,2497.35,0,0,218.5,213,80
8276-MQBYC,827613,19.49,1,Fiber Optic,11,0,0,1,0,1,1,0,1,97.8,4913.3,0,0,993.99,214,80
6015-VVHHE,601522,41.83,1,Fiber Optic,25,0,0,0,0,1,0,0,1,83.15,446.05,0,0,209.15,215,80
