Gender,Age,Married,Dependents,Number of Dependents,newcustomer,Referred a Friend,Number of Referrals,Contract,Customer Status,Churn Score,CLTV,Acquisition Channel,Channel_ID
Male,72,1,0,0,52449,1,1,Month-to-Month,Churned,91,4333,Referal,6
Female,69,0,0,0,26845,0,0,Month-to-Month,Churned,90,2482,Marketing Campaigns,2
Male,73,0,0,0,668322,0,0,Month-to-Month,Churned,92,5444,Marketing Campaigns,2
Female,65,0,0,0,6919,0,0,One Year,Churned,81,2403,Marketing Campaigns,2
Male,74,1,0,0,36431,1,1,Month-to-Month,Churned,83,3265,Referal,6
Female,65,0,0,0,923126,0,0,Month-to-Month,Churned,72,5301,Marketing Campaigns,2
Female,66,0,0,0,7272,0,0,One Year,Churned,83,5679,Marketing Campaigns,2
Male,71,1,0,0,94713,1,1,Month-to-Month,Churned,95,5849,Referal,6
Male,65,0,0,0,78112,0,0,Month-to-Month,Churned,70,4038,Marketing Campaigns,2
Male,69,0,0,0,190721,0,0,Month-to-Month,Churned,91,3189,Marketing Campaigns,2
Male,75,1,0,0,65135,0,0,Month-to-Month,Churned,94,4369,Marketing Campaigns,2
Female,75,0,0,0,70749,0,0,Month-to-Month,Churned,91,3501,Marketing Campaigns,2
Female,68,0,0,0,475026,0,0,Month-to-Month,Churned,83,2467,Marketing Campaigns,2
Male,71,0,0,0,70284,0,0,Month-to-Month,Churned,82,2074,Marketing Campaigns,2
Male,80,0,0,0,420821,0,0,Month-to-Month,Churned,84,5900,Marketing Campaigns,2
Male,66,0,0,0,988920,0,0,Month-to-Month,Churned,74,5084,Marketing Campaigns,2
Male,73,1,0,0,89196,1,2,Month-to-Month,Churned,96,4829,Referal,6
Male,77,1,0,0,664617,1,1,One Year,Churned,91,5052,Referal,6
Female,76,1,0,0,936924,1,1,Month-to-Month,Churned,72,3601,Referal,6
Female,65,0,0,0,13744,0,0,Month-to-Month,Churned,91,5419,Marketing Campaigns,2
Male,75,1,0,0,198916,1,1,Month-to-Month,Churned,65,2377,Referal,6
Male,75,0,0,0,482218,0,0,Month-to-Month,Churned,90,5906,Marketing Campaigns,2
Female,68,1,0,0,418420,1,1,Month-to-Month,Churned,68,4486,Referal,6
Female,71,0,0,0,414521,0,0,Month-to-Month,Churned,81,5662,Marketing Campaigns,2
Male,74,0,0,0,123623,0,0,Month-to-Month,Churned,96,4777,Marketing Campaigns,2
Male,77,0,0,0,127119,0,0,Month-to-Month,Churned,74,2437,Marketing Campaigns,2
Female,73,0,0,0,444114,0,0,Month-to-Month,Churned,90,2995,Marketing Campaigns,2
Female,68,0,0,0,89992,0,0,Month-to-Month,Churned,89,2202,Marketing Campaigns,2
Male,74,1,0,0,702918,1,1,Month-to-Month,Churned,87,5508,Referal,6
Male,65,1,0,0,811119,1,1,Month-to-Month,Churned,96,4687,Referal,6
Female,73,1,0,0,529323,1,5,Month-to-Month,Churned,82,4553,Referal,6
Female,74,1,0,0,408625,1,1,Month-to-Month,Churned,89,3834,Referal,6
Male,80,0,0,0,839925,0,0,Month-to-Month,Churned,70,4716,Marketing Campaigns,2
Female,76,0,0,0,55656,0,0,Month-to-Month,Churned,96,5913,Marketing Campaigns,2
Female,73,0,0,0,41873,0,0,One Year,Churned,90,3180,Marketing Campaigns,2
Female,70,1,0,0,681823,1,1,Month-to-Month,Churned,69,5651,Referal,6
Male,75,1,0,0,91343,1,1,Month-to-Month,Churned,89,3077,Referal,6
Male,74,1,0,0,85199,1,1,Month-to-Month,Churned,83,4981,Referal,6
Male,76,0,0,0,337211,0,0,Month-to-Month,Churned,81,2508,Marketing Campaigns,2
Female,75,0,0,0,72067,0,0,Month-to-Month,Churned,75,4371,Marketing Campaigns,2
Female,74,0,0,0,176826,0,0,Month-to-Month,Churned,67,5688,Marketing Campaigns,2
Female,73,0,0,0,379313,0,0,Month-to-Month,Churned,90,2230,Marketing Campaigns,2
Female,69,0,0,0,65678,0,0,Month-to-Month,Churned,76,4363,Marketing Campaigns,2
Female,75,1,0,0,862113,1,1,Month-to-Month,Churned,88,3369,Referal,6
Female,65,0,0,0,54193,0,0,Month-to-Month,Churned,89,2268,Marketing Campaigns,2
Female,77,0,0,0,702415,0,0,Month-to-Month,Churned,72,4193,Marketing Campaigns,2
Male,67,0,0,0,535720,0,0,Month-to-Month,Churned,83,5745,Marketing Campaigns,2
Female,78,0,0,0,50612,0,0,Month-to-Month,Churned,90,4028,Marketing Campaigns,2
Male,65,0,0,0,98099,0,0,Month-to-Month,Churned,93,4458,Marketing Campaigns,2
Male,74,0,0,0,325425,0,0,Month-to-Month,Churned,69,5683,Marketing Campaigns,2
Male,70,0,0,0,52915,0,0,Month-to-Month,Churned,96,2099,Marketing Campaigns,2
Male,69,0,0,0,52409,0,0,Month-to-Month,Churned,88,3348,Marketing Campaigns,2
Female,76,0,0,0,66124,0,0,Month-to-Month,Churned,90,3884,Marketing Campaigns,2
Male,71,0,0,0,26605,0,0,Month-to-Month,Churned,75,5353,Marketing Campaigns,2
Female,76,0,0,0,767515,0,0,Month-to-Month,Churned,77,4145,Marketing Campaigns,2
Male,77,1,0,0,93915,1,1,Month-to-Month,Churned,69,5374,Referal,6
Male,74,0,0,0,276115,0,0,Month-to-Month,Churned,81,2803,Marketing Campaigns,2
Male,77,0,0,0,306815,0,0,Month-to-Month,Churned,91,3106,Marketing Campaigns,2
Male,76,1,0,0,41541,1,1,Month-to-Month,Churned,82,3861,Referal,6
Female,77,0,0,0,801712,0,0,Month-to-Month,Churned,95,2740,Marketing Campaigns,2
Female,80,1,0,0,424817,1,1,Month-to-Month,Churned,90,3209,Referal,6
Male,68,0,0,0,469012,0,0,Month-to-Month,Churned,93,3797,Marketing Campaigns,2
Female,79,0,0,0,94904,0,0,Month-to-Month,Churned,90,4871,Marketing Campaigns,2
Male,65,0,0,0,85801,0,0,Month-to-Month,Churned,92,5001,Marketing Campaigns,2
Male,68,0,0,0,504712,0,0,Month-to-Month,Churned,91,3438,Marketing Campaigns,2
Female,72,0,0,0,83754,0,0,Month-to-Month,Churned,96,3438,Marketing Campaigns,2
Female,66,0,0,0,72792,0,0,Month-to-Month,Churned,89,3380,Marketing Campaigns,2
Male,68,0,0,0,715613,0,0,Month-to-Month,Churned,76,5394,Marketing Campaigns,2
Male,69,1,0,0,960616,1,1,Month-to-Month,Churned,94,4584,Referal,6
Male,76,1,0,0,35369,1,1,Month-to-Month,Churned,75,2712,Referal,6
Male,70,1,0,0,313220,1,1,Month-to-Month,Churned,82,5172,Referal,6
Male,71,0,0,0,80804,0,0,Month-to-Month,Churned,79,4499,Marketing Campaigns,2
Male,75,0,0,0,670215,0,0,Month-to-Month,Churned,91,4972,Marketing Campaigns,2
Female,67,0,0,0,451016,0,0,Month-to-Month,Churned,75,3110,Marketing Campaigns,2
Female,65,1,0,0,88404,1,1,Month-to-Month,Churned,81,4745,Referal,6
Female,80,0,0,0,419315,0,0,Month-to-Month,Churned,70,2740,Marketing Campaigns,2
Male,71,1,0,0,777617,1,1,Month-to-Month,Churned,83,4795,Referal,6
Female,70,0,0,0,668920,0,0,Month-to-Month,Churned,65,4054,Marketing Campaigns,2
Male,73,0,0,0,949717,0,0,Month-to-Month,Churned,81,5536,Marketing Campaigns,2
Male,78,1,0,0,342414,1,1,One Year,Churned,91,4739,Referal,6
Female,76,0,0,0,45147,0,0,Month-to-Month,Churned,91,5136,Marketing Campaigns,2
Female,73,0,0,0,800018,0,0,Month-to-Month,Churned,94,3208,Marketing Campaigns,2
Female,68,1,0,0,479511,1,1,Month-to-Month,Churned,91,4287,Referal,6
Male,79,0,0,0,996110,0,0,Month-to-Month,Churned,87,4317,Marketing Campaigns,2
Female,67,0,0,0,61797,0,0,Month-to-Month,Churned,86,2833,Marketing Campaigns,2
Female,69,1,0,0,829025,1,1,Month-to-Month,Churned,90,5247,Referal,6
Female,72,0,0,0,80518,0,0,Month-to-Month,Churned,82,2146,Marketing Campaigns,2
Male,75,1,0,0,402118,1,1,Month-to-Month,Churned,72,5137,Referal,6
Male,67,1,0,0,906120,1,1,Month-to-Month,Churned,90,2982,Referal,6
Male,72,1,0,0,86991,1,1,Month-to-Month,Churned,96,4969,Referal,6
Female,68,0,0,0,469523,0,0,Month-to-Month,Churned,80,3685,Marketing Campaigns,2
Female,68,0,0,0,398818,0,0,Month-to-Month,Churned,71,2371,Marketing Campaigns,2
Male,75,1,0,0,59316,1,1,Month-to-Month,Churned,83,3669,Referal,6
Male,74,1,0,0,320715,1,1,Month-to-Month,Churned,86,6259,Referal,6
Female,78,1,0,0,72165,1,4,Month-to-Month,Churned,65,3128,Referal,6
Male,66,1,0,0,25288,1,2,Month-to-Month,Churned,92,3266,Referal,6
Female,73,0,0,0,414013,0,0,Month-to-Month,Churned,70,3561,Marketing Campaigns,2
Male,79,1,0,0,15876,1,1,Month-to-Month,Churned,96,4479,Referal,6
Male,69,1,0,0,54406,1,1,Two Year,Churned,73,4708,Referal,6
Female,65,1,0,0,277412,1,2,Month-to-Month,Churned,70,2596,Referal,6
Female,68,0,0,0,461220,0,0,One Year,Churned,93,5605,Marketing Campaigns,2
Female,79,0,0,0,409414,0,0,Month-to-Month,Churned,73,4819,Marketing Campaigns,2
Female,80,0,0,0,184624,0,0,Month-to-Month,Churned,71,2825,Marketing Campaigns,2
Male,77,1,0,0,375714,1,3,Month-to-Month,Churned,65,4113,Referal,6
Female,65,1,0,0,989811,1,1,Month-to-Month,Churned,95,5676,Referal,6
Male,66,0,0,0,826310,0,0,Month-to-Month,Churned,77,5573,Marketing Campaigns,2
Male,75,0,0,0,220525,0,0,Month-to-Month,Churned,70,2015,Marketing Campaigns,2
Female,74,0,0,0,12549,0,0,Month-to-Month,Churned,96,5362,Marketing Campaigns,2
Female,80,0,0,0,922115,0,0,Month-to-Month,Churned,86,2292,Marketing Campaigns,2
Male,74,0,0,0,590817,0,0,Month-to-Month,Churned,80,4553,Marketing Campaigns,2
Male,70,1,0,0,3977,0,0,Month-to-Month,Churned,85,5390,Marketing Campaigns,2
Male,76,1,0,0,76415,1,3,Month-to-Month,Churned,72,5712,Referal,6
Female,72,0,0,0,892212,0,0,Month-to-Month,Churned,82,4078,Marketing Campaigns,2
Female,66,0,0,0,824521,0,0,Month-to-Month,Churned,80,2688,Marketing Campaigns,2
Male,75,0,0,0,518619,0,0,Month-to-Month,Churned,77,3273,Marketing Campaigns,2
Male,65,1,0,0,537319,1,1,Month-to-Month,Churned,82,3041,Referal,6
Male,79,0,0,0,2220,0,0,One Year,Churned,92,2654,Marketing Campaigns,2
Male,73,0,0,0,51309,0,0,Month-to-Month,Churned,91,4283,Marketing Campaigns,2
Male,79,0,0,0,32691,0,0,Month-to-Month,Churned,65,4892,Marketing Campaigns,2
Female,70,1,0,0,35423,1,1,Month-to-Month,Churned,91,4050,Referal,6
Male,71,0,0,0,757615,0,0,Month-to-Month,Churned,67,2930,Marketing Campaigns,2
Male,69,0,0,0,553920,0,0,Month-to-Month,Churned,69,5057,Marketing Campaigns,2
Female,70,0,0,0,333610,0,0,Month-to-Month,Churned,80,3401,Marketing Campaigns,2
Male,71,1,0,0,686124,1,1,Month-to-Month,Churned,90,2487,Referal,6
Male,67,0,0,0,42836,0,0,Month-to-Month,Churned,65,3715,Marketing Campaigns,2
Male,67,1,0,0,23972,1,2,Month-to-Month,Churned,91,3443,Referal,6
Female,69,0,0,0,85101,0,0,Month-to-Month,Churned,65,3269,Marketing Campaigns,2
Male,75,0,0,0,82252,0,0,Month-to-Month,Churned,87,3856,Marketing Campaigns,2
Male,67,0,0,0,17242,0,0,Month-to-Month,Churned,66,2718,Marketing Campaigns,2
Male,66,1,0,0,482624,0,0,Month-to-Month,Churned,96,4843,Marketing Campaigns,2
Female,67,0,0,0,240823,0,0,Month-to-Month,Churned,92,3244,Marketing Campaigns,2
Male,71,1,0,0,26348,1,1,One Year,Churned,77,5271,Referal,6
Male,74,1,0,0,750317,1,1,Month-to-Month,Churned,81,2076,Referal,6
Female,70,0,0,0,70920,0,0,Month-to-Month,Churned,69,3145,Marketing Campaigns,2
Male,76,1,0,0,30013,1,1,Month-to-Month,Churned,79,3966,Referal,6
Male,67,1,0,0,410215,1,1,Month-to-Month,Churned,91,5429,Referal,6
Male,80,0,0,0,399917,0,0,Month-to-Month,Churned,88,3068,Marketing Campaigns,2
Female,67,1,0,0,245418,1,1,Month-to-Month,Churned,90,2709,Referal,6
Female,68,1,0,0,22653,1,1,Month-to-Month,Churned,77,4708,Referal,6
Male,69,1,0,0,455022,1,1,Month-to-Month,Churned,91,5005,Referal,6
Female,80,0,0,0,740911,0,0,Month-to-Month,Churned,72,5345,Marketing Campaigns,2
Female,73,1,0,0,173222,1,1,Month-to-Month,Churned,82,4457,Referal,6
Female,73,1,0,0,6799,1,1,Month-to-Month,Churned,87,4568,Referal,6
Male,65,0,0,0,880221,0,0,Month-to-Month,Churned,78,5565,Marketing Campaigns,2
Male,73,0,0,0,63137,0,0,Month-to-Month,Churned,65,6280,Marketing Campaigns,2
Male,78,1,0,0,28451,0,0,Month-to-Month,Churned,76,4726,Marketing Campaigns,2
Male,68,0,0,0,28153,0,0,Month-to-Month,Churned,89,3684,Marketing Campaigns,2
Male,65,1,0,0,18916,1,1,Month-to-Month,Churned,82,6363,Referal,6
Male,67,0,0,0,968523,0,0,Month-to-Month,Churned,70,2075,Marketing Campaigns,2
Female,70,0,0,0,602221,0,0,Month-to-Month,Churned,90,2091,Marketing Campaigns,2
Female,69,1,0,0,39233,1,1,Month-to-Month,Churned,94,5746,Referal,6
Female,73,0,0,0,36779,0,0,Month-to-Month,Churned,90,4002,Marketing Campaigns,2
Male,74,0,0,0,811812,0,0,Month-to-Month,Churned,79,5507,Marketing Campaigns,2
Female,78,0,0,0,527726,0,0,Month-to-Month,Churned,86,5512,Marketing Campaigns,2
Male,77,1,0,0,42488,1,1,Month-to-Month,Churned,73,2174,Referal,6
Female,70,0,0,0,91746,0,0,Month-to-Month,Churned,78,3848,Marketing Campaigns,2
Female,78,1,0,0,53074,0,0,Month-to-Month,Churned,74,2431,Marketing Campaigns,2
Female,75,0,0,0,867910,0,0,Month-to-Month,Churned,87,5556,Marketing Campaigns,2
Female,75,0,0,0,48031,0,0,Month-to-Month,Churned,91,3474,Marketing Campaigns,2
Male,76,0,0,0,56491,0,0,Month-to-Month,Churned,90,4486,Marketing Campaigns,2
Male,70,1,0,0,73959,1,1,Month-to-Month,Churned,79,3443,Referal,6
Male,67,1,0,0,789022,1,1,Month-to-Month,Churned,89,3766,Referal,6
Female,69,0,0,0,990719,0,0,Month-to-Month,Churned,65,4842,Marketing Campaigns,2
Female,70,1,0,0,639710,1,1,Month-to-Month,Churned,85,2573,Referal,6
Male,74,1,0,0,777912,1,2,Month-to-Month,Churned,84,4990,Referal,6
Female,77,0,0,0,971026,0,0,Month-to-Month,Churned,92,5849,Marketing Campaigns,2
Male,66,1,0,0,39026,1,1,Month-to-Month,Churned,68,3967,Referal,6
Male,70,0,0,0,331815,0,0,Month-to-Month,Churned,91,2080,Marketing Campaigns,2
Female,68,0,0,0,26361,0,0,Month-to-Month,Churned,74,2151,Marketing Campaigns,2
Female,65,0,0,0,98853,0,0,Month-to-Month,Churned,67,2139,Marketing Campaigns,2
Female,76,0,0,0,805810,0,0,Month-to-Month,Churned,95,3543,Marketing Campaigns,2
Male,73,0,0,0,76574,0,0,One Year,Churned,82,2645,Marketing Campaigns,2
Male,70,0,0,0,827613,0,0,Month-to-Month,Churned,81,6204,Marketing Campaigns,2
Female,68,0,0,0,601522,0,0,Month-to-Month,Churned,96,2516,Marketing Campaigns,2
Female,77,0,0,0,251622,0,0,Month-to-Month,Churned,65,3350,Marketing Campaigns,2
Female,73,0,0,0,758021,0,0,Month-to-Month,Churned,96,3016,Marketing Campaigns,2
Male,71,1,0,0,517812,1,1,Month-to-Month,Churned,70,5795,Referal,6
Male,69,1,0,0,70569,1,1,Month-to-Month,Churned,94,5884,Referal,6
Male,80,1,0,0,874910,1,1,Month-to-Month,Churned,83,4788,Referal,6
Male,66,1,0,0,9175,0,0,Two Year,Churned,74,5925,Marketing Campaigns,2
Male,79,0,0,0,841413,0,0,Month-to-Month,Churned,78,2834,Marketing Campaigns,2
Male,80,0,0,0,49889,0,0,Month-to-Month,Churned,92,4403,Marketing Campaigns,2
Female,78,0,0,0,47061,0,0,Month-to-Month,Churned,67,5118,Marketing Campaigns,2
Female,67,1,0,0,588910,1,1,Month-to-Month,Churned,92,5863,Referal,6
Male,73,0,0,0,902618,0,0,Month-to-Month,Churned,81,4618,Marketing Campaigns,2
Male,75,0,0,0,162414,0,0,Month-to-Month,Churned,88,2960,Marketing Campaigns,2
Male,67,0,0,0,621011,0,0,Month-to-Month,Churned,93,2313,Marketing Campaigns,2
Female,75,0,0,0,226021,0,0,Month-to-Month,Churned,67,2767,Marketing Campaigns,2
Male,80,1,0,0,862320,1,2,Month-to-Month,Churned,74,6245,Referal,6
Male,72,1,0,0,690016,0,0,Month-to-Month,Churned,91,3157,Marketing Campaigns,2
Female,70,1,0,0,33462,1,1,Month-to-Month,Churned,92,2167,Referal,6
Female,73,1,0,0,272210,1,1,Month-to-Month,Churned,76,4989,Referal,6
Female,75,1,0,0,757915,1,1,Month-to-Month,Churned,78,5461,Referal,6
Male,70,1,0,0,177115,1,1,Month-to-Month,Churned,95,2151,Referal,6
Female,77,0,0,0,61218,0,0,Month-to-Month,Churned,87,4628,Marketing Campaigns,2
Male,80,1,0,0,443310,1,1,Month-to-Month,Churned,88,2436,Referal,6
Female,78,0,0,0,94888,0,0,Month-to-Month,Churned,85,5287,Marketing Campaigns,2
Female,69,0,0,0,481817,0,0,Month-to-Month,Churned,95,4997,Marketing Campaigns,2
Male,71,1,0,0,696122,1,1,Month-to-Month,Churned,75,4876,Referal,6
Male,70,0,0,0,442420,0,0,Month-to-Month,Churned,70,4998,Marketing Campaigns,2
Female,66,0,0,0,420110,0,0,Month-to-Month,Churned,87,5527,Marketing Campaigns,2
Male,77,0,0,0,186618,0,0,Month-to-Month,Churned,91,2169,Marketing Campaigns,2
Male,71,1,0,0,863114,1,1,Two Year,Churned,73,5910,Referal,6
Male,68,0,0,0,495824,0,0,Month-to-Month,Churned,92,3689,Marketing Campaigns,2
Male,71,1,0,0,833721,0,0,Month-to-Month,Churned,76,5124,Marketing Campaigns,2
Female,79,0,0,0,671215,0,0,Month-to-Month,Churned,76,5154,Marketing Campaigns,2
Female,80,0,0,0,59144,0,0,Month-to-Month,Churned,91,5145,Marketing Campaigns,2
Male,65,0,0,0,864424,0,0,Month-to-Month,Churned,84,5674,Referal,6
Female,70,0,0,0,183322,0,0,Month-to-Month,Churned,71,4684,Marketing Campaigns,2
Male,68,1,0,0,837424,1,8,Month-to-Month,Churned,87,3123,Referal,6
Male,80,1,0,0,694612,1,3,One Year,Churned,90,2673,Referal,6
Male,77,1,0,0,40398,1,1,Month-to-Month,Churned,82,4652,Referal,6
Male,65,1,0,0,81223,1,1,Month-to-Month,Churned,69,3022,Referal,6
Male,66,1,0,0,24032,1,1,One Year,Churned,93,3711,Referal,6
Male,70,0,0,0,38719,0,0,Month-to-Month,Churned,83,2767,Marketing Campaigns,2
Female,69,0,0,0,130414,0,0,Month-to-Month,Churned,92,5203,Marketing Campaigns,2
Male,66,0,0,0,565510,0,0,Month-to-Month,Churned,74,5904,Marketing Campaigns,2
Female,75,0,0,0,45055,0,0,Month-to-Month,Churned,91,3964,Marketing Campaigns,2
Female,75,1,0,0,89728,1,1,Month-to-Month,Churned,80,5245,Referal,6
Female,67,0,0,0,286018,0,0,Month-to-Month,Churned,75,3336,Marketing Campaigns,2
Female,75,1,0,0,4062,0,0,One Year,Churned,68,6405,Marketing Campaigns,2
Female,74,0,0,0,527611,0,0,Month-to-Month,Churned,74,4596,Marketing Campaigns,2
Female,74,0,0,0,96675,0,0,Month-to-Month,Churned,94,3016,Marketing Campaigns,2
Male,67,1,0,0,9463,1,1,Month-to-Month,Churned,91,4662,Referal,6
Female,74,1,0,0,3242,1,1,Month-to-Month,Churned,70,4481,Referal,6
Female,69,1,0,0,918910,1,1,Month-to-Month,Churned,91,4937,Referal,6
Male,70,1,0,0,57623,1,1,Month-to-Month,Churned,75,2999,Referal,6
Female,79,0,0,0,548216,0,0,Month-to-Month,Churned,72,3278,Marketing Campaigns,2
Female,76,0,0,0,490215,0,0,Month-to-Month,Churned,93,4235,Marketing Campaigns,2
Male,78,1,0,0,49526,1,1,Month-to-Month,Churned,90,4324,Referal,6
Female,79,0,0,0,23573,0,0,Month-to-Month,Churned,78,4136,Marketing Campaigns,2
Male,73,0,0,0,20343,0,0,Month-to-Month,Churned,66,5245,Marketing Campaigns,2
Female,74,1,0,0,93601,1,7,One Year,Churned,69,5863,Referal,6
Male,73,0,0,0,548523,0,0,Month-to-Month,Churned,87,4522,Marketing Campaigns,2
Male,71,1,0,0,263221,1,6,Month-to-Month,Churned,72,4512,Referal,6
Female,68,1,0,0,642525,1,1,One Year,Churned,86,6117,Referal,6
Female,70,0,0,0,209118,0,0,Month-to-Month,Churned,75,2560,Marketing Campaigns,2
Female,66,0,0,0,689916,0,0,Month-to-Month,Churned,81,4448,Marketing Campaigns,2
Male,65,0,0,0,459714,0,0,Month-to-Month,Churned,87,4287,Marketing Campaigns,2
Male,78,0,0,0,37544,0,0,Month-to-Month,Churned,86,5655,Marketing Campaigns,2
Female,74,0,0,0,713022,0,0,Month-to-Month,Churned,92,4174,Marketing Campaigns,2
Male,78,1,0,0,79033,1,1,Month-to-Month,Churned,87,4138,Referal,6
Female,79,0,0,0,170414,0,0,Month-to-Month,Churned,71,5242,Marketing Campaigns,2
Female,76,0,0,0,74811,0,0,Month-to-Month,Churned,70,5651,Marketing Campaigns,2
Male,67,0,0,0,238,0,0,Month-to-Month,Churned,85,5437,Marketing Campaigns,2
Female,80,0,0,0,179221,0,0,Month-to-Month,Churned,89,5082,Marketing Campaigns,2
Male,77,0,0,0,616121,0,0,Month-to-Month,Churned,90,4367,Marketing Campaigns,2
Female,73,0,0,0,654324,0,0,Month-to-Month,Churned,69,3548,Marketing Campaigns,2
Male,74,1,0,0,24792,1,1,Month-to-Month,Churned,71,4995,Referal,6
Female,76,1,0,0,371410,1,1,Month-to-Month,Churned,94,2322,Referal,6
Female,78,1,0,0,858017,0,0,Two Year,Churned,78,5697,Marketing Campaigns,2
Female,78,1,0,0,201214,1,1,Month-to-Month,Churned,71,3172,Referal,6
Male,66,0,0,0,88085,0,0,Month-to-Month,Churned,72,3812,Marketing Campaigns,2
Female,69,0,0,0,90583,0,0,Month-to-Month,Churned,95,3357,Marketing Campaigns,2
Female,74,0,0,0,80637,0,0,Month-to-Month,Churned,80,5172,Marketing Campaigns,2
Female,68,0,0,0,106924,0,0,Month-to-Month,Churned,96,2975,Marketing Campaigns,2
Female,68,0,0,0,698724,0,0,Month-to-Month,Churned,78,5684,Marketing Campaigns,2
Female,68,0,0,0,72220,0,0,Month-to-Month,Churned,78,2122,Marketing Campaigns,2
Female,75,0,0,0,640226,0,0,Month-to-Month,Churned,94,4969,Marketing Campaigns,2
Male,73,0,0,0,996525,0,0,Month-to-Month,Churned,71,3723,Marketing Campaigns,2
Female,72,0,0,0,5048,0,0,Month-to-Month,Churned,96,2420,Marketing Campaigns,2
Female,68,1,0,0,379112,1,1,Month-to-Month,Churned,85,4803,Referal,6
Female,74,1,0,0,816626,1,1,Two Year,Churned,94,4400,Referal,6
Male,71,1,0,0,29567,1,1,Month-to-Month,Churned,65,3079,Referal,6
Male,75,1,0,0,277815,1,1,Month-to-Month,Churned,89,4591,Referal,6
Female,66,1,0,0,706711,1,1,One Year,Churned,69,5965,Referal,6
